temp picpoc
0 -0.108
0.1 -0.0976
0.2 -0.0872
0.3 -0.0768
0.4 -0.0664
0.5 -0.056
0.6 -0.0456
0.7 -0.0352
0.8 -0.0248
0.9 -0.0144
1 -0.004
1.1 0.0064
1.2 0.0168
1.3 0.0272
1.4 0.0376
1.5 0.048
1.6 0.0584
1.7 0.0688
1.8 0.0792
1.9 0.0896
2 0.1
2.1 0.1104
2.2 0.1208
2.3 0.1312
2.4 0.1416
2.5 0.152
2.6 0.1624
2.7 0.1728
2.8 0.1832
2.9 0.1936
3 0.204
3.1 0.2144
3.2 0.2248
3.3 0.2352
3.4 0.2456
3.5 0.256
3.6 0.2664
3.7 0.2768
3.8 0.2872
3.9 0.2976
4 0.308
4.1 0.3184
4.2 0.3288
4.3 0.3392
4.4 0.3496
4.5 0.36
4.6 0.3704
4.7 0.3808
4.8 0.3912
4.9 0.4016
5 0.412
5.1 0.4224
5.2 0.4328
5.3 0.4432
5.4 0.4536
5.5 0.464
5.6 0.4744
5.7 0.4848
5.8 0.4952
5.9 0.5056
6 0.516
6.1 0.5264
6.2 0.5368
6.3 0.5472
6.4 0.5576
6.5 0.568
6.6 0.5784
6.7 0.5888
6.8 0.5992
6.9 0.6096
7 0.62
7.1 0.6304
7.2 0.6408
7.3 0.6512
7.4 0.6616
7.5 0.672
7.6 0.6824
7.7 0.6928
7.8 0.7032
7.9 0.7136
8 0.724
8.1 0.7344
8.2 0.7448
8.3 0.7552
8.4 0.7656
8.5 0.776
8.6 0.7864
8.7 0.7968
8.8 0.8072
8.9 0.8176
9 0.828
9.1 0.8384
9.2 0.8488
9.3 0.8592
9.4 0.8696
9.5 0.88
9.6 0.8904
9.7 0.9008
9.8 0.9112
9.9 0.9216
10 0.932
10.1 0.9424
10.2 0.9528
10.3 0.9632
10.4 0.9736
10.5 0.984
10.6 0.9944
